created_at, provider, input_len, billed_prompt_len, billed_output_len, cached_tokens, duration (ms)
1760719700, meta, 100000, 105903, 9, 0, 9095
1760719877, meta, 10, 28, 2, 0, 401
1760719880, meta, 10, 28, 2, 0, 359
1760719880, meta, 100, 28, 2, 0, 365
1760719883, meta, 100, 28, 2, 0, 330
1760719883, meta, 1000, 889, 3, 0, 372
1760719885, meta, 1000, 889, 2, 0, 644
1760719886, meta, 3000, 2714, 3, 0, 480
1760719888, meta, 3000, 2714, 3, 0, 502
1760719889, meta, 10000, 9975, 11, 0, 988
1760719892, meta, 10000, 9975, 11, 0, 897
1760719893, meta, 30000, 30796, 63, 0, 3212
1760719898, meta, 30000, 30796, 12, 0, 2287
1760719900, meta, 100000, 105902, 9, 0, 9320
1760719912, meta, 100000, 105902, 12, 0, 2249
1760720106, meta, 10, 28, 2, 0, 360
1760720108, meta, 10, 28, 2, 0, 373
1760720109, meta, 100, 28, 2, 0, 326
1760720111, meta, 100, 28, 2, 0, 279
1760720111, meta, 1000, 889, 3, 0, 304
1760720114, meta, 1000, 889, 3, 0, 370
1760720114, meta, 3000, 2715, 3, 0, 554
1760720116, meta, 3000, 2715, 3, 0, 472
1760720117, meta, 10000, 9975, 66, 0, 1775
1760720121, meta, 10000, 9975, 12, 0, 685
1760720121, meta, 30000, 30796, 51, 0, 2859
1760720126, meta, 30000, 30796, 11, 0, 2388
1760720129, meta, 100000, 105902, 9, 0, 9236
1760720140, meta, 100000, 105902, 10, 0, 2586
1760720313, meta, 10, 28, 2, 0, 352
1760720315, meta, 10, 28, 2, 0, 344
1760720316, meta, 100, 28, 2, 0, 337
1760720318, meta, 100, 28, 2, 0, 341
1760720318, meta, 1000, 889, 2, 0, 400
1760720321, meta, 1000, 889, 2, 0, 417
1760720321, meta, 3000, 2714, 3, 0, 406
1760720324, meta, 3000, 2714, 3, 0, 446
1760720324, meta, 10000, 9975, 11, 0, 949
1760720327, meta, 10000, 9975, 11, 0, 1002
1760720328, meta, 30000, 30796, 8, 0, 2275
